_
Notre Dame,Chaminade
Stetson,Ave Maria
Baylor,Wisconsin
Cincinnati,Buffalo
Utah Valley,Eastern Oregon
Ga Southern,Missouri St
Grand Canyon,Norfolk St
ULL,Iowa
Jacksonville,Webber
Jacksonville St,Savannah St
Marquette,VA Commonwealth
Montana,Oral Roberts
Texas A&M,Oklahoma St
Richmond,UAB
UC Santa Barbara,Pepperdine
Wichita St,California
Creighton,UCLA
Florida A&M,Albany GA
Prairie View,E Kentucky
Georgia St,E Washington
Towson,FL Atlantic
Missouri KC,Manhattan
LSU,Michigan
Utah,Mississippi
UNLV,Rice
UTRGV,North Texas
Penn,N Illinois
Penn St,Pittsburgh
Wyoming,S Dakota St
Chattanooga,Alabama St
St Bonaventure,MD E Shore
North Carolina,Stanford
Army,Columbia
Central Conn,Coppin St
Citadel,Trinity Bap
Delaware,NC Wesleyan
SE Louisiana,Kent
Louisville,S Illinois
Loyola MD,Goucher
Massachusetts,W Carolina
Mt St Mary's,York PA
UNC Greensboro,Longwood
American Univ,New Hampshire
North Florida,Edward Waters
Rutgers,Bryant
Cent Arkansas,S Carolina St
Virginia Tech,Houston Bap
VMI,Ohio Valley
Wagner,Staten Island
Winthrop,Mars Hill
William & Mary,Shenandoah
Youngstown St,Westminster PA
Gardner Webb,Brevard
IUPUI,Morehead St
High Point,Methodist
Alabama,UT Arlington
Kansas,TX Southern
Loyola-Chicago,MS Valley St
Memphis,New Orleans
MTSU,FL Gulf Coast
Minnesota,Alabama A&M
Northwestern LA,ULM
Tennessee St,Canisius
Valparaiso,Samford
North Dakota,Northland
Pacific,Air Force
BYU,Niagara
Tennessee Tech,New Mexico
N Colorado,N New Mexico
UC Davis,CS Sacramento
Nevada,Davidson
San Francisco,Sonoma St
Bethune-Cookman,Grambling
Montana St,Binghamton
SE Missouri St,CS Northridge
Evansville,Fresno St
St Francis PA,Franciscan OH
Louisiana Tech,George Mason
Morgan St,Goldey Beacom
Missouri St,Manhattan
S Dakota St,Iowa
Wichita St,Marquette
FL Atlantic,N Illinois
Wyoming,ULL
Oklahoma St,Pittsburgh
VA Commonwealth,California
Savannah St,Alabama St
Ga Southern,Missouri KC
Buffalo,UAB
Texas A&M,Penn St
Jacksonville St,Chattanooga
UCLA,Wisconsin
Towson,Penn
Cincinnati,Richmond
Michigan,Chaminade
UC Santa Barbara,Montana
Baylor,Creighton
Notre Dame,LSU
Pepperdine,Oral Roberts
Chicago St,East-West
NC A&T,Mid-Atlantic Chr
Southern Utah,Benedictine AZ
Boston College,Colgate
Bucknell,Ball St
Albany NY,Dartmouth
Troy,ETSU
Elon,Radford
F Dickinson,Holy Cross
Florida St,Kennesaw
Georgia Tech,UTRGV
Indiana,Arkansas St
Indiana St,MO St Louis
James Madison,Appalachian St
Kentucky,IPFW
Miami FL,La Salle
Boston Univ,Maine
UNC Asheville,Monmouth NJ
Princeton,Lafayette
Providence,Belmont
South Florida,Howard
Syracuse,Toledo
Stony Brook,Brown
Sacred Heart,Mitchell
NJIT,Kean
Delaware,Longwood
MA Lowell,Long Island
Yale,Alcorn St
Austin Peay,Bethel TN
Southern Univ,TN Martin
Illinois,Augustana IL
Illinois St,Quincy
Mississippi St,SF Austin
Stetson,South Alabama
Detroit,St Louis
Texas Tech,Wofford
Tulane,Miami OH
W Illinois,SIUE
N Dakota St,Florida A&M
Loy Marymount,Incarnate Word
New Mexico St,Colorado St
San Jose St,Idaho St
USC,Lehigh
UC Riverside,W New Mexico
Lamar,Southern N.O.
