_
Texas,Alabama
WKU,Austin Peay
Drake,MD E Shore
Iowa,Colorado
LSU,North Florida
Mississippi,Bradley
S Dakota St,Missouri KC
Nebraska,Delaware St
Xavier,Northern Iowa
Oklahoma,Northwestern
Oklahoma St,UTRGV
Texas St,Rice
Utah Valley,Sam Houston St
St Louis,SE Missouri St
Missouri St,Loyola-Chicago
TCU,William & Mary
TN Martin,Ark Pine Bluff
Texas Tech,Abilene Chr
Vanderbilt,Alcorn St
Wichita St,FL Gulf Coast
W Michigan,WI Milwaukee
Air Force,J&W CO
Arizona St,Pacific
New Mexico,Prairie View
Weber St,Presentation
CS Fullerton,Loy Marymount
UNLV,N Colorado
San Diego,Life Pacific
St Mary's CA,UNC Asheville
Washington,Montana
Washington St,Bethune-Cookman
UC Riverside,UC Merced
USC,Akron
New Mexico St,Davidson
Duquesne,San Francisco
Miami FL,Hawaii
MTSU,Princeton
UC Davis,Lamar
Nevada,S Illinois
Radford,NC A&T
Liberty,Alabama St
Arkansas St,Culver-Stockton
Howard,UNC Wilmington
Louisiana Tech,IPFW
N Dakota St,UTEP
Boston College,Richmond
Toledo,Cleveland St
Niagara,Cornell
Dayton,Wagner
G Washington,Harvard
Georgetown,Alabama A&M
Louisville,Grand Canyon
Seton Hall,Manhattan
St Peter's,St Francis NY
Georgia St,Chattanooga
Tennessee,Wake Forest
West Virginia,Fordham
Central Conn,MA Lowell
Auburn,Connecticut
UAB,MS Valley St
Illinois St,Evansville
Illinois,Missouri
UCLA,Kentucky
Memphis,Loyola MD
North Carolina,Ohio St
Mississippi St,Southern Miss
Wisconsin,WI Green Bay
BYU,TX Southern
Colorado St,Long Beach St
Idaho St,CS Northridge
UC Santa Barbara,CS Sacramento
Seattle,Nicholls St
S Illinois,Duquesne
San Francisco,Nevada
Minnesota,FL Atlantic
Princeton,Akron
Hawaii,Davidson
IL Chicago,Trinity Chr
NC A&T,Lamar
New Mexico St,Miami FL
Radford,UC Davis
USC,MTSU
Davidson,Akron
Princeton,Hawaii
USC,New Mexico St
Miami FL,MTSU
Butler,Georgetown
Georgia Tech,Coppin St
Penn,Delaware St
Rhode Island,FL Gulf Coast
Syracuse,E Michigan
Arkansas,CS Bakersfield
Villanova,DePaul
Xavier,Marquette
SMU,UCF
Wisconsin,Chicago St
Boise St,Colorado St
New Mexico,Air Force
Utah St,San Jose St
Wyoming,San Diego St
Nevada,Fresno St
CS Northridge,San Diego Chr
Grand Canyon,Morgan St
South Carolina,Limestone
Bowling Green,Lourdes
Buffalo,NJIT
Delaware,Cornell
ETSU,Tusculum
Tulsa,East Carolina
Fairfield,St Peter's
Indiana St,Valparaiso
Jacksonville,Mid Georgia
Marshall,Southern Miss
Mercer,Kennesaw
UNC Wilmington,Greensboro
Hartford,Rutgers
Seton Hall,Creighton
Houston,South Florida
Providence,St John's
Tulane,Temple
Virginia Tech,NC A&T
Wright St,IL Chicago
IPFW,Olivet MI
Quinnipiac,Monmouth NJ
Albany NY,Kent
N Kentucky,IUPUI
Austin Peay,SIUE
Drake,Bradley
Jacksonville St,E Kentucky
Lamar,Houston Bap
McNeese St,Incarnate Word
LSU,Memphis
Murray St,E Illinois
New Orleans,Abilene Chr
Nicholls St,Northwestern LA
S Illinois,Northern Iowa
SE Louisiana,SF Austin
Belmont,SE Missouri St
TN Martin,Tennessee St
Tennessee Tech,Morehead St
UT San Antonio,Rice
WKU,Louisiana Tech
WI Green Bay,Detroit
Oakland,WI Milwaukee
Cent Arkansas,TAM C. Christi
BYU,Portland
Denver,Mesa St
Montana,Northern Arizona
Montana St,Southern Utah
North Texas,UTEP
Utah Valley,UC Riverside
New Mexico St,UC Irvine
Gonzaga,Pacific
San Diego,San Francisco
Santa Clara,Pepperdine
St Mary's CA,Loy Marymount
Seattle,Grambling
Missouri KC,Avila
Akron,Concord
Appalachian St,Texas St
Ball St,Florida A&M
Boston Univ,Army
Bucknell,American Univ
Canisius,Rider
Central Conn,St Francis PA
Coastal Car,UT Arlington
E Michigan,Rochester MI
Colgate,Holy Cross
Indiana,Youngstown St
Kentucky,Louisville
Lehigh,Lafayette
F Dickinson,Long Island
Loyola MD,Navy
Marist,Siena
Maryland,UMBC
Michigan St,Cleveland St
Iona,Niagara
Ohio,Northwestern OH
Toledo,Penn
Wagner,Mt St Mary's
St Francis NY,Sacred Heart
Robert Morris,Bryant
ULL,Ark Little Rock
Arkansas St,ULM
Iowa,N Illinois
Kansas St,Iowa St
Nebraska,Stetson
West Virginia,Oklahoma St
South Alabama,Georgia St
Kansas,Texas
Texas Tech,Baylor
Ga Southern,Troy
Idaho,North Dakota
N Colorado,E Washington
Utah,Oregon
Oregon St,Colorado
UCLA,Washington St
Washington,USC
Hawaii,Howard
FL Gulf Coast,FL Memorial
Southern Univ,Ecclesia
Prairie View,Jarvis Chr
C Michigan,Lawrence Tech
Butler,Villanova
Col Charleston,Towson
Charleston So,Longwood
Clemson,NC State
Columbia,Maine
Wichita St,Connecticut
W Carolina,Citadel
Duke,Florida St
Duquesne,Dayton
Elon,Drexel
Florida,Vanderbilt
Florida Intl,FL Atlantic
G Washington,St Joseph's PA
Northeastern,James Madison
La Salle,St Louis
Manhattan,Fairfield
Marshall,Louisiana Tech
Michigan,Jacksonville
UNC Asheville,Campbell
UNC Greensboro,Wofford
Delaware,UNC Wilmington
New Hampshire,Dartmouth
North Carolina,Wake Forest
Notre Dame,Georgia Tech
Ohio St,Miami OH
Old Dominion,Charlotte
Penn St,Coppin St
Miami FL,Pittsburgh
Radford,Presbyterian
Purdue,Lipscomb
Rhode Island,George Mason
Richmond,Davidson
St Bonaventure,Massachusetts
Norfolk St,Stony Brook
VA Commonwealth,Fordham
Virginia,Boston College
Furman,VMI
Winthrop,High Point
William & Mary,Hofstra
Wright St,IUPUI
Xavier,DePaul
IPFW,Concordia MI
Gardner Webb,Liberty
SC Upstate,North Greenville
Binghamton,Elmira
Yale,Kennesaw
N Kentucky,IL Chicago
Alabama,Texas A&M
Arkansas,Tennessee
Auburn,Cornell
Austin Peay,E Illinois
MTSU,UAB
Abilene Chr,Sam Houston St
Houston,Temple
New Orleans,Houston Bap
Illinois,Grand Canyon
Jacksonville St,Morehead St
Loyola-Chicago,Evansville
Marquette,Georgetown
McNeese St,Northwestern LA
Minnesota,Harvard
Mississippi St,North Florida
Murray St,SIUE
Nicholls St,Incarnate Word
Northwestern,Brown
Oral Roberts,NE Omaha
Samford,Chattanooga
Oklahoma,TCU
Belmont,TN Martin
Tennessee Tech,E Kentucky
North Texas,UT San Antonio
WKU,Southern Miss
WI Green Bay,Oakland
WI Milwaukee,Detroit
Wisconsin,MA Lowell
Lamar,TAM C. Christi
N Dakota St,Jamestown
South Dakota,Denver
S Dakota St,Presentation
Arizona,Arizona St
St Mary's CA,BYU
Montana St,Northern Arizona
Montana,Southern Utah
UTEP,Rice
Idaho St,Weber St
Utah Valley,CS Fullerton
UC Davis,Holy Names
Fresno St,Air Force
Gonzaga,Santa Clara
Boise St,UNLV
Nevada,New Mexico
CS Northridge,Morgan St
Pacific,Loy Marymount
CS Sacramento,Portland St
San Diego,Pepperdine
San Diego St,Utah St
San Francisco,Portland
Colorado St,San Jose St
UC Santa Barbara,Pacific Union
Seattle,UC Riverside
California,Stanford
Cal Poly,Notre Dame CA
W Michigan,Chicago St
UTRGV,Hampton
Long Beach St,Texas A&M Intl
NC Central,St Andrew's
Appalachian St,UT Arlington
Canisius,Iona
Robert Morris,Central Conn
Cincinnati,Memphis
Texas St,Coastal Car
UCF,East Carolina
Kentucky,Georgia
Long Island,Mt St Mary's
UMBC,Centenary NJ
ETSU,Mercer
Michigan St,Savannah St
Rider,Niagara
Seton Hall,St John's
St Francis NY,Wagner
St Peter's,Monmouth NJ
Syracuse,Virginia Tech
Sacred Heart,F Dickinson
St Francis PA,Bryant
Ark Little Rock,ULM
ULL,Arkansas St
Bradley,Northern Iowa
Creighton,Providence
Illinois St,Indiana St
Mississippi,South Carolina
SE Missouri St,Tennessee St
SMU,South Florida
South Alabama,Ga Southern
Drake,S Illinois
Troy,Georgia St
Tulsa,Tulane
Missouri St,Valparaiso
SE Louisiana,Cent Arkansas
E Washington,North Dakota
N Colorado,Idaho
Oregon,Colorado
Utah,Oregon St
UCLA,Washington
USC,Washington St
FL Gulf Coast,Florida Tech
MD E Shore,Central Penn
W Illinois,Lincoln Chr
Youngstown St,Cleveland St
Quinnipiac,Siena
Texas,Iowa St
West Virginia,Kansas St
Alabama A&M,Grambling
Prairie View,Alcorn St
Ark Pine Bluff,MS Valley St
Jackson St,Alabama St
TX Southern,Southern Univ
Stetson,Florida National
Colgate,American Univ
Army,Loyola MD
Ball St,E Michigan
Miami OH,Bowling Green
Boston Univ,Bucknell
Buffalo,Toledo
C Michigan,Ohio
Col Charleston,Delaware
Elon,Towson
Vermont,Harvard
Jacksonville,Trinity Bap
William & Mary,James Madison
Lafayette,Holy Cross
Liberty,Charleston So
Louisville,Pittsburgh
Manhattan,Marist
Maryland,Penn St
Navy,Lehigh
UNC Wilmington,Drexel
Hofstra,Northeastern
North Florida,Florida National
Auburn,Tennessee
W Michigan,Akron
Xavier,Butler
Missouri KC,SC Upstate
Kennesaw,Carver Bib
TCU,Baylor
Georgetown,DePaul
Michigan,Iowa
Texas Tech,Kansas
Mississippi St,Arkansas
N Illinois,Kent
Nebraska,Northwestern
Florida,Texas A&M
Vanderbilt,Alabama
IUPUI,WI Green Bay
Wisconsin,Indiana
NE Omaha,Doane
San Diego St,Colorado St
UTRGV,Our Lady Lake
Clemson,Boston College
Brown,NJIT
Gardner Webb,Campbell
UCF,Memphis
Davidson,St Louis
Dayton,St Bonaventure
Duquesne,G Washington
Florida St,North Carolina
Fordham,Richmond
Georgia,Mississippi
George Mason,Massachusetts
UMBC,New Hampshire
Georgia Tech,Miami FL
Notre Dame,NC State
Marquette,Providence
Purdue,Rutgers
Radford,Winthrop
Rhode Island,La Salle
Missouri,South Carolina
East Carolina,South Florida
St Joseph's PA,VA Commonwealth
Stony Brook,Maine
Virginia,Virginia Tech
Wake Forest,Syracuse
High Point,UNC Asheville
Hartford,Albany NY
Presbyterian,Longwood
Abilene Chr,McNeese St
Bradley,Valparaiso
Creighton,St John's
Drake,Illinois St
Indiana St,Loyola-Chicago
Kentucky,LSU
Minnesota,Illinois
New Orleans,Lamar
Oklahoma,Oklahoma St
S Illinois,Evansville
SF Austin,Nicholls St
Tulsa,Connecticut
TAM C. Christi,Northwestern LA
Sam Houston St,Cent Arkansas
Lipscomb,Fisk
S Dakota St,N Dakota St
South Dakota,W Illinois
Boise St,New Mexico
Utah St,Fresno St
CS Fullerton,UC Riverside
Nevada,Wyoming
UNLV,San Jose St
Alabama St,Grambling
TX Southern,Alcorn St
Bethune-Cookman,S Carolina St
Norfolk St,Coppin St
NC Central,Delaware St
Florida A&M,Howard
Jackson St,Alabama A&M
Morgan St,MD E Shore
Prairie View,Southern Univ
Cleveland St,WI Green Bay
SIUE,E Kentucky
F Dickinson,Central Conn
MTSU,Florida Intl
Furman,Citadel
UAB,FL Atlantic
Ga Southern,Arkansas St
Georgia St,Ark Little Rock
Michigan St,Maryland
E Illinois,Morehead St
Mt St Mary's,Bryant
Robert Morris,St Francis NY
St Francis PA,Long Island
Cincinnati,Temple
W Carolina,Chattanooga
Wagner,Sacred Heart
Wofford,VMI
Youngstown St,WI Milwaukee
IL Chicago,IUPUI
Vermont,MA Lowell
Austin Peay,TN Martin
Belmont,Tennessee Tech
Ohio St,Iowa
UT San Antonio,Louisiana Tech
Murray St,SE Missouri St
ULM,Coastal Car
Charlotte,North Texas
Oral Roberts,IPFW
Old Dominion,Rice
ETSU,Samford
Southern Miss,UTEP
ULL,Appalachian St
Missouri St,Northern Iowa
Texas St,South Alabama
Tennessee St,Jacksonville St
UT Arlington,Troy
Tulane,SMU
Wichita St,Houston
Colorado,Arizona St
Idaho St,Southern Utah
Montana,North Dakota
Montana St,N Colorado
Arizona,Utah
Weber St,Northern Arizona
UC Davis,UC Irvine
Cal Poly,UC Santa Barbara
USC,California
E Washington,Portland St
Idaho,CS Sacramento
Long Beach St,Hawaii
Santa Clara,Loy Marymount
Gonzaga,Pepperdine
San Diego,Portland
BYU,San Francisco
St Mary's CA,Pacific
Stanford,UCLA
Bucknell,Army
Lafayette,Colgate
Cornell,Central Penn
William & Mary,Delaware
Wright St,Detroit
Drexel,Col Charleston
Hofstra,James Madison
Iona,St Peter's
Lehigh,Holy Cross
Loyola MD,Boston Univ
Monmouth NJ,Manhattan
Navy,American Univ
Northeastern,Elon
N Kentucky,Oakland
Penn St,Northwestern
Rider,Fairfield
Rutgers,Wisconsin
Niagara,Siena
Toledo,Akron
Towson,UNC Wilmington
Canisius,Quinnipiac
Oregon St,Oregon
Buffalo,Ball St
Boston College,Wake Forest
Seton Hall,Butler
Campbell,Winthrop
Clemson,Louisville
WI Milwaukee,Cleveland St
Columbia,Sarah Lawrence
Connecticut,East Carolina
Massachusetts,Dayton
E Illinois,E Kentucky
Bowling Green,E Michigan
UAB,Florida Intl
Duquesne,Fordham
Furman,Mercer
MTSU,FL Atlantic
Ga Southern,Ark Little Rock
Rhode Island,G Washington
Creighton,Georgetown
Georgia,Alabama
Georgia St,Arkansas St
Georgia Tech,Yale
Stony Brook,Hartford
Harvard,Dartmouth
Drake,Indiana St
Kent,C Michigan
VA Commonwealth,La Salle
Liberty,Presbyterian
WKU,Marshall
W Michigan,Miami OH
Michigan,Illinois
SIUE,Morehead St
Mt St Mary's,Central Conn
New Hampshire,Albany NY
NC State,Duke
Jacksonville,North Florida
Ohio,N Illinois
Providence,Xavier
Purdue,Nebraska
Radford,UNC Asheville
Robert Morris,Long Island
South Carolina,Vanderbilt
St Francis PA,St Francis NY
DePaul,St John's
St Joseph's PA,St Bonaventure
Notre Dame,Syracuse
Tennessee,Kentucky
ETSU,Chattanooga
Vermont,UMBC
Villanova,Marquette
Virginia,North Carolina
Virginia Tech,Pittsburgh
UNC Greensboro,VMI
Wagner,F Dickinson
West Virginia,Oklahoma
Wofford,Citadel
Youngstown St,WI Green Bay
High Point,Charleston So
Bryant,Sacred Heart
NJIT,SC Upstate
Longwood,Gardner Webb
Maine,Binghamton
Lipscomb,Kennesaw
FL Gulf Coast,Stetson
Auburn,Arkansas
Austin Peay,SE Missouri St
SE Louisiana,Abilene Chr
Jacksonville St,Belmont
Baylor,Texas
Evansville,Bradley
Nicholls St,Houston Bap
Louisiana Tech,UTEP
New Orleans,McNeese St
Memphis,Tulsa
Indiana,Minnesota
Mississippi,Mississippi St
Florida,Missouri
Murray St,TN Martin
Appalachian St,ULM
Old Dominion,North Texas
SF Austin,Northwestern LA
Oklahoma St,Iowa St
Oral Roberts,W Illinois
Rice,Charlotte
Samford,W Carolina
Southern Miss,UT San Antonio
St Louis,Richmond
ULL,Coastal Car
Texas St,Troy
Tennessee Tech,Tennessee St
LSU,Texas A&M
UT Arlington,South Alabama
Texas Tech,Kansas St
Valparaiso,S Illinois
Cent Arkansas,Lamar
S Dakota St,NE Omaha
N Dakota St,South Dakota
Sam Houston St,Incarnate Word
Nevada,Air Force
Colorado,Arizona
Fresno St,Colorado St
IPFW,Denver
Idaho St,Northern Arizona
Montana,N Colorado
Montana St,North Dakota
New Mexico,San Jose St
Weber St,Southern Utah
Wyoming,Boise St
UC Irvine,Long Beach St
CS Fullerton,Cal Poly
UCLA,California
E Washington,CS Sacramento
Portland St,Idaho
Gonzaga,Loy Marymount
Utah St,UNLV
Hawaii,CS Northridge
Pacific,BYU
San Francisco,Pepperdine
UC Santa Barbara,UC Riverside
Santa Clara,Portland
St Mary's CA,San Diego
Washington,Washington St
Alabama St,MS Valley St
Bethune-Cookman,Howard
New Mexico St,Chicago St
Grand Canyon,Seattle
Savannah St,Coppin St
Jackson St,Alcorn St
S Carolina St,Delaware St
Morgan St,Florida A&M
Southern Univ,Grambling
Ark Pine Bluff,Alabama A&M
MD E Shore,Hampton
UTRGV,Missouri KC
Utah Valley,CS Bakersfield
Kansas,TCU
TX Southern,Prairie View
Penn,Princeton
UCF,Temple
Cincinnati,SMU
Delaware,UNC Wilmington
N Kentucky,Detroit
William & Mary,Drexel
Davidson,George Mason
Elon,Hofstra
Iona,Fairfield
Rider,Manhattan
Niagara,Marist
Maryland,Iowa
Miami FL,Florida St
Northeastern,James Madison
Wright St,Oakland
Ohio St,Michigan St
Siena,Canisius
St Peter's,Quinnipiac
Towson,Col Charleston
Illinois St,Missouri St
Loyola-Chicago,Northern Iowa
Wichita St,South Florida
Arizona St,Utah
Stanford,USC
Army,American Univ
Boston Univ,Lehigh
Colgate,Navy
Holy Cross,Loyola MD
Bucknell,Lafayette
Alabama A&M,MS Valley St
Grambling,Alcorn St
NC Central,Norfolk St
Coppin St,Florida A&M
NC A&T,Delaware St
Ark Pine Bluff,Alabama St
Jackson St,Southern Univ
Bethune-Cookman,MD E Shore
Morgan St,Savannah St
Buffalo,Akron
Bowling Green,N Illinois
Radford,Charleston So
E Michigan,C Michigan
Indiana,Penn St
Kentucky,Texas A&M
Miami OH,Kent
Purdue,Michigan
UNC Asheville,Longwood
North Carolina,Boston College
Ball St,Ohio
Campbell,Presbyterian
Dayton,Richmond
Georgetown,St John's
Toledo,W Michigan
VA Commonwealth,Duquesne
Virginia,Syracuse
West Virginia,Baylor
Liberty,Winthrop
Gardner Webb,High Point
Alabama,South Carolina
Auburn,Mississippi
Bradley,S Illinois
Creighton,Butler
Kansas,Iowa St
Marquette,Seton Hall
Memphis,Tulane
Nebraska,Wisconsin
South Alabama,Trinity Bap
Rhode Island,St Louis
Oklahoma,Texas Tech
Tennessee,Vanderbilt
Boise St,Fresno St
San Diego St,San Jose St
Connecticut,UCF
Vermont,Dartmouth
Davidson,G Washington
Detroit,Cleveland St
Florida,Mississippi St
Louisville,Florida St
George Mason,St Joseph's PA
Georgia Tech,Notre Dame
Hartford,MA Lowell
Indiana St,Northern Iowa
UMBC,Maine
Massachusetts,La Salle
Michigan St,Rutgers
New Hampshire,Binghamton
Duke,Pittsburgh
St Bonaventure,Fordham
Furman,Chattanooga
Villanova,Xavier
Virginia Tech,Wake Forest
W Carolina,Mercer
Wofford,Harvard
Oakland,Youngstown St
IUPUI,WI Milwaukee
Quinnipiac,Marist
Albany NY,Stony Brook
LSU,Arkansas
Evansville,Missouri St
Abilene Chr,Houston Bap
IL Chicago,WI Green Bay
Loyola-Chicago,Illinois St
Kansas St,Oklahoma St
SE Louisiana,Lamar
Missouri,Georgia
Nicholls St,McNeese St
Northwestern,Minnesota
Temple,SMU
SF Austin,New Orleans
Texas,TCU
Valparaiso,Drake
Sam Houston St,TAM C. Christi
Cent Arkansas,Incarnate Word
UNLV,Air Force
New Mexico,Wyoming
Colorado St,Utah St
Long Beach St,CS Northridge
USC,Colorado
Hawaii,Cal Poly
American Univ,Loyola MD
Georgia St,Appalachian St
Army,Lafayette
Boston Univ,Colgate
Bucknell,Lehigh
Col Charleston,Northeastern
Ga Southern,Coastal Car
Samford,Citadel
Delaware,Drexel
ETSU,UNC Greensboro
Wichita St,East Carolina
UNC Wilmington,Elon
Long Island,F Dickinson
Manhattan,Fairfield
Iona,Siena
Jacksonville,Kennesaw
Mt St Mary's,Sacred Heart
Navy,Holy Cross
Marshall,Charlotte
NC State,Clemson
North Florida,Lipscomb
Ohio St,Maryland
WKU,Old Dominion
St Francis PA,Robert Morris
St Francis NY,Central Conn
Stetson,NJIT
Hofstra,Towson
William & Mary,James Madison
South Dakota,IPFW
FL Gulf Coast,SC Upstate
Wright St,N Kentucky
Wagner,Bryant
Ark Little Rock,UT Arlington
Texas St,Arkansas St
UAB,Southern Miss
Tennessee St,E Illinois
Houston,Tulsa
Iowa,Illinois
Jacksonville St,Murray St
MTSU,Louisiana Tech
SE Missouri St,Morehead St
E Kentucky,TN Martin
Tennessee Tech,Austin Peay
Florida Intl,UT San Antonio
NE Omaha,W Illinois
Belmont,SIUE
North Dakota,Idaho St
Denver,N Dakota St
S Dakota St,Oral Roberts
Arizona,Oregon St
Oregon,Arizona St
BYU,Pepperdine
Weber St,N Colorado
FL Atlantic,UTEP
CS Fullerton,UC Irvine
Gonzaga,Portland
Loy Marymount,San Francisco
Pacific,San Diego
Montana,CS Sacramento
St Mary's CA,Santa Clara
UCLA,Utah
Washington,California
Stanford,Washington St
Portland St,Montana St
UC Davis,UC Riverside
New Mexico St,Grand Canyon
Seattle,Chicago St
Utah Valley,Missouri KC
UTRGV,CS Bakersfield
Butler,Marquette
Campbell,High Point
Canisius,St Peter's
Winthrop,Charleston So
Dayton,VA Commonwealth
Detroit,Youngstown St
Kent,Ohio
Longwood,Liberty
Niagara,Monmouth NJ
Oakland,Cleveland St
Penn St,Nebraska
Penn,Cornell
UNC Asheville,Presbyterian
Princeton,Columbia
Rider,Quinnipiac
Yale,Brown
Gardner Webb,Radford
Providence,DePaul
IL Chicago,WI Milwaukee
IUPUI,WI Green Bay
Idaho,E Washington
Hampton,Delaware St
Akron,Bowling Green
Ga Southern,Appalachian St
Boston College,Dartmouth
Buffalo,Miami OH
Central Conn,Bryant
Toledo,C Michigan
Clemson,Miami FL
Georgia St,Coastal Car
Citadel,Chattanooga
Hofstra,Drexel
Duke,Wake Forest
Duquesne,La Salle
ETSU,VMI
Elon,Col Charleston
Robert Morris,F Dickinson
Florida St,Syracuse
George Mason,St Louis
South Carolina,Georgia
Hartford,Binghamton
Jacksonville,Lipscomb
Delaware,James Madison
Long Island,Wagner
Louisville,Virginia Tech
Albany NY,Maine
Manhattan,Siena
Marist,Fairfield
Mercer,Samford
Michigan,Michigan St
WKU,Charlotte
Northeastern,UNC Wilmington
North Carolina,Notre Dame
North Florida,Kennesaw
Old Dominion,Marshall
Penn,Columbia
Georgia Tech,Pittsburgh
Princeton,Cornell
Rhode Island,St Bonaventure
Richmond,G Washington
Seton Hall,Georgetown
Cincinnati,South Florida
Sacred Heart,St Francis NY
Mt St Mary's,St Francis PA
Villanova,St John's
Stetson,SC Upstate
Memphis,Temple
Tennessee,Texas A&M
Vermont,Stony Brook
W Michigan,Ball St
UNC Greensboro,W Carolina
Towson,William & Mary
Wofford,Furman
Xavier,Creighton
IPFW,NE Omaha
FL Gulf Coast,NJIT
UMBC,MA Lowell
Arkansas,Missouri
Texas St,Ark Little Rock
UT Arlington,Arkansas St
UAB,Louisiana Tech
Drake,Evansville
Belmont,E Illinois
Iowa St,Baylor
Austin Peay,Jacksonville St
Kansas,Kansas St
Loyola-Chicago,Bradley
Alabama,LSU
MTSU,Southern Miss
Purdue,Minnesota
Mississippi,Florida
Auburn,Mississippi St
New Orleans,TAM C. Christi
Nicholls St,Cent Arkansas
N Illinois,E Michigan
Northern Iowa,Valparaiso
Abilene Chr,Northwestern LA
Oklahoma,TCU
Oklahoma St,Texas
North Texas,Rice
Sam Houston St,Houston Bap
McNeese St,SE Louisiana
E Kentucky,SE Missouri St
Troy,South Alabama
S Illinois,Illinois St
SF Austin,Incarnate Word
ULL,ULM
Morehead St,TN Martin
Murray St,Tennessee Tech
FL Atlantic,UT San Antonio
Texas Tech,West Virginia
Connecticut,Tulane
Wichita St,Tulsa
Kentucky,Vanderbilt
SIUE,Tennessee St
North Dakota,Weber St
N Dakota St,Oral Roberts
S Dakota St,Denver
Arizona,Oregon
Arizona St,Oregon St
Boise St,San Diego St
N Colorado,Idaho St
Southern Utah,Northern Arizona
Colorado St,Wyoming
Fresno St,New Mexico
CS Fullerton,UC Davis
Nevada,Utah St
UC Irvine,CS Northridge
St Mary's CA,Pepperdine
Pacific,Portland
CS Sacramento,Montana St
San Diego,Loy Marymount
Gonzaga,San Francisco
Air Force,San Jose St
BYU,Santa Clara
Colorado,UCLA
Stanford,Washington
Washington St,California
Montana,Portland St
Long Beach St,UC Riverside
Hawaii,UC Santa Barbara
Alabama St,Alabama A&M
Alcorn St,MS Valley St
Utah Valley,Chicago St
Grand Canyon,UTRGV
S Carolina St,Howard
Seattle,Missouri KC
NC Central,Coppin St
Bethune-Cookman,Florida A&M
UTEP,Florida Intl
Grambling,Prairie View
Ark Pine Bluff,Southern Univ
Jackson St,TX Southern
Savannah St,MD E Shore
NC A&T,Morgan St
New Mexico St,CS Bakersfield
W Illinois,Oak Hills Chr
Canisius,Monmouth NJ
Houston,East Carolina
Davidson,Fordham
Boston Univ,Holy Cross
Indiana,Northwestern
Iona,Rider
Lehigh,American Univ
Loyola MD,Lafayette
Massachusetts,St Joseph's PA
Army,Navy
Niagara,St Peter's
Ohio St,Rutgers
Virginia,NC State
Missouri St,Indiana St
USC,Utah
Boston College,Florida St
Bucknell,Colgate
UMBC,Hartford
Mercer,Chattanooga
Duke,Miami FL
Michigan,Maryland
UNC Asheville,Charleston So
Minnesota,Penn St
Providence,Butler
Radford,Liberty
Vermont,Maine
Kansas,West Virginia
W Carolina,VMI
Winthrop,Gardner Webb
Wright St,Youngstown St
High Point,Presbyterian
Longwood,Campbell
Binghamton,Albany NY
N Kentucky,Cleveland St
New Hampshire,MA Lowell
Baylor,Oklahoma St
Oakland,IL Chicago
Marquette,DePaul
Nebraska,Illinois
WI Green Bay,WI Milwaukee
Bethune-Cookman,Stetson
Eliz. City St,Norfolk St
Grambling,TX Southern
Savannah St,Howard
NC A&T,Coppin St
Ark Pine Bluff,Alcorn St
Florida A&M,Delaware St
Jackson St,Prairie View
S Carolina St,MD E Shore
Southern Univ,MS Valley St
NC Central,Morgan St
Ball St,C Michigan
Buffalo,N Illinois
Cincinnati,UCF
E Michigan,Akron
Kent,W Michigan
Bowling Green,Miami OH
North Carolina,Clemson
Louisville,Notre Dame
Toledo,Ohio
Purdue,Wisconsin
South Carolina,Kentucky
Syracuse,Pittsburgh
IUPUI,Detroit
Kansas St,Oklahoma
Georgia,LSU
Memphis,Connecticut
Mississippi St,Vanderbilt
Nicholls St,TAM C. Christi
Northern Iowa,Drake
Texas A&M,Mississippi
North Dakota,N Dakota St
American Univ,Boston Univ
East Carolina,South Florida
Florida,Arkansas
G Washington,George Mason
Villanova,Georgetown
Holy Cross,Army
Navy,Lafayette
La Salle,Fordham
Colgate,Lehigh
Bucknell,Loyola MD
Rhode Island,Massachusetts
Rutgers,Iowa
St Joseph's PA,Dayton
Temple,Tulsa
Richmond,VA Commonwealth
Xavier,St John's
Alabama,Auburn
SF Austin,Abilene Chr
Creighton,Seton Hall
Indiana St,Evansville
Illinois St,Bradley
Loyola-Chicago,S Illinois
Missouri,Tennessee
Cent Arkansas,New Orleans
Ohio St,Northwestern
Sam Houston St,Northwestern LA
SE Louisiana,Houston Bap
St Louis,Duquesne
Missouri St,Valparaiso
TCU,Iowa St
Texas,Texas Tech
Tulane,Houston
W Illinois,IPFW
SMU,Wichita St
South Dakota,Oral Roberts
Lamar,Incarnate Word
Boise St,Utah St
Air Force,Colorado St
Arizona,California
New Mexico,UNLV
Fresno St,San Diego St
Nevada,San Jose St
UC Santa Barbara,CS Fullerton
Stanford,Arizona St
CS Northridge,UC Riverside
UC Davis,Long Beach St
NC A&T,Norfolk St
Campbell,Charleston So
Central Conn,F Dickinson
Col Charleston,UNC Wilmington
Cleveland St,IUPUI
Tennessee Tech,E Kentucky
Old Dominion,Florida Intl
ETSU,Furman
FL Atlantic,Charlotte
Virginia,Georgia Tech
Hofstra,Delaware
James Madison,Elon
Long Island,Bryant
Hartford,Maine
Marshall,MTSU
Maryland,Minnesota
Jacksonville St,Morehead St
UNC Greensboro,Citadel
Vermont,New Hampshire
NC State,Wake Forest
Radford,Longwood
Siena,Marist
St Francis NY,Mt St Mary's
Rider,St Peter's
Stony Brook,Binghamton
Towson,Drexel
Mercer,VMI
Wagner,St Francis PA
Winthrop,UNC Asheville
Northeastern,William & Mary
IL Chicago,Youngstown St
Gardner Webb,Presbyterian
High Point,Liberty
