Virginia,West Virginia
Virginia Military Institute,Citadel
%Virginia Tech,Richmond
Washington & Lee,Davidson
%William & Mary,Boston College
Wisconsin,Marquette
Wyoming,Montana State
Detroit Mercy,Saint Louis
Colorado State,Brigham Young
North Carolina State,Duquesne
Western State,New Mexico State
Arizona,Iowa State
Arkansas,Tulsa
Boston College,Saint Mary's (CA)
Brigham Young,Wyoming
Brown,Colgate
(4) California,Stanford
(9) Clemson,Duquesne
Colorado State,Colorado
Columbia,Syracuse
Dartmouth,Princeton
Florida,Miami (FL)
George Washington,Georgetown
(11) Georgia,Furman
(20) Georgia Tech,Citadel
Hardin-Simmons,Arizona State
Harvard,Yale
Holy Cross,Temple
Iowa,Boston University
%Kentucky,Tennessee
Louisiana State,Alabama
Marquette,South Dakota
(1) Michigan,(18) Ohio State
(12) Michigan State,Washington State
(15) Minnesota,Wisconsin
Missouri,Nebraska
Montana,North Dakota
New York University,Merchant Marine
(5) North Carolina,Duke
(7) Northwestern,Illinois
(8) Oklahoma,Kansas
Oklahoma State,Kansas State
(13) Oregon,Oregon State
Pittsburgh,(6) Penn State
Purdue,Indiana
Rice,Texas Christian
Rutgers,Fordham
Saint Louis,Missouri-Rolla
Southern California,UCLA
(10) Southern Methodist,Baylor
Texas Tech,New Mexico
(14) Tulane,Cincinnati
Vanderbilt,Maryland
Villanova,San Francisco
Washington,Idaho
Washington & Lee,Delaware
West Virginia,Western Reserve
Wichita State,Southwestern (Kansas)
William & Mary,North Carolina State
Chattanooga,Dayton
Cornell,(19) Pennsylvania
Missouri,Kansas
Nevada,Wichita State
Richmond,Washington & Lee
Saint Louis,Kansas State
St. Bonaventure,San Francisco
%Texas A&M,Texas
Texas-El Paso,New Mexico State
Utah,Utah State
Virginia Military Institute,Virginia Tech
Wake Forest,South Carolina
Brigham Young,Arizona State
Kentucky,Miami (FL)
Saint Mary's (CA),San Jose State
Alabama,Florida
Arizona,Marquette
Boston College,Holy Cross
(9) Clemson,Auburn
Davidson,Furman
Denver,Wyoming
Detroit Mercy,Tulsa
Fordham,New York University
(12) Georgia,Georgia Tech
%(11) Michigan State,Santa Clara
(16) Mississippi,Mississippi State
%Navy,(3) Army
(4) North Carolina,Virginia
(2) Notre Dame,Washington
(6) Oklahoma,Oklahoma State
Oregon State,Nebraska
(18) Penn State,Washington State
%Rice,Baylor
%Texas Christian,(8) Southern Methodist
Texas Tech,Hardin-Simmons
(14) Tulane,Louisiana State
(15) Vanderbilt,Tennessee
Villanova,North Carolina State
West Texas A&M,New Mexico
West Virginia,Maryland
Whittier,Northern Arizona
(20) William & Mary,Arkansas
(15) Vanderbilt,Miami (FL)
Alabama,Auburn
(9) Clemson,Citadel
%(2) Notre Dame,Southern California
San Diego State,Utah State
Texas-El Paso,Hawaii
West Texas A&M,Texas A&M-Corpus Christi
%Richmond,Rollins
%Hardin-Simmons,Pacific
Arizona State,New Mexico
Nevada,Hawaii
Hardin-Simmons,Ouachita
Hardin-Simmons,Wichita State
Baylor,Wake Forest
(9) Clemson,Missouri
Drake,Arizona
(7) Northwestern,(5) California
Occidental,Colorado State
(6) Oklahoma,(4) North Carolina
Oregon State,Hawaii
(8) Southern Methodist,(10) Oregon
%Sul Ross State,Murray State
Texas,(12) Georgia
Villanova,Nevada
West Virginia,Texas-El Paso
(20) William & Mary,Oklahoma State
